stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
WPMA-E,53276,Plateau Mayenne,47.496335,-0.579263,0,Europe/Paris,1
WTBO-E,30166,Terra Botanica,47.494206,-0.5750960000000001,0,Europe/Paris,1
WTBOT,45969,Terra Botanica,47.494083,-0.574716,0,Europe/Paris,1
WVERN,27317,Verneau,47.492391,-0.567528,0,Europe/Paris,1
ZABRUNEL,1456,ZA Brunelleries,47.439217,-0.620801,0,Europe/Paris,1
ZARTISAN,20846,ZA Feneu,47.579281,-0.591333,0,Europe/Paris,0
ZARTIS-E,14755,ZA Feneu,47.579303,-0.591975,0,Europe/Paris,0
ZIBEAUC,23205,ZI Beaucouzé,47.460025,-0.619339,0,Europe/Paris,0
ZIBEAU-E,19670,ZI Beaucouzé,47.459969,-0.61929,0,Europe/Paris,0
FENEU-ZA,888767,ZA Feneu,47.579174,-0.591391,0,Europe/Paris,0
BOSCH-E,63542,Bois Rinier,47.476432,-0.497398,0,Europe/Paris,0
CHAGAL-E,675868,Chagall,47.560152,-0.677582,0,Europe/Paris,0
CLAIE-E,360007,Claie,47.460717,-0.627038,0,Europe/Paris,0
DUBE-E,583889,Dube,47.415419,-0.5232560000000001,0,Europe/Paris,1
DUBELL-2,646719,Du Bellay,47.492208,-0.513392,0,Europe/Paris,0
GALLIE-E,12457,Gallieni,47.434827,-0.524525,0,Europe/Paris,1
GENIE-E,570531,Génie,47.458164,-0.563862,0,Europe/Paris,1
GROI.2-E,590166,Groies,47.492028,-0.399523,0,Europe/Paris,0
GROIES.2,16726,Groies,47.492026,-0.399656,0,Europe/Paris,0
I.U.T.,598651,IUT,47.480263,-0.602472,0,Europe/Paris,1
I.U.T.-E,844184,IUT,47.480551,-0.6029679999999999,0,Europe/Paris,1
INRA-E,741028,INRAE,47.474733,-0.611305,0,Europe/Paris,1
JEAN-23,791499,Jean XXIII,47.448324,-0.563741,0,Europe/Paris,1
JEAN-MON,880633,Monnet,47.465602,-0.601465,0,Europe/Paris,1
JEMONNET,869755,Monnet,47.465477,-0.601303,0,Europe/Paris,1
LA-BOI-E,575897,La Boissière,47.504706,-0.600175,0,Europe/Paris,1
LA-BOISS,574608,La Boissière,47.50477,-0.599956,0,Europe/Paris,1
LE.CLO-E,890179,Le Clos,47.424655,-0.427995,0,Europe/Paris,0
LE.CLOS,905100,Le Clos,47.424661,-0.428128,0,Europe/Paris,0
LE-PRE,667164,Le Pré,47.515123,-0.584937,0,Europe/Paris,1
LE-PRE-E,150327,Le Pré,47.515249,-0.585112,0,Europe/Paris,1
LICES-E,669316,Lices,47.466947,-0.55465,0,Europe/Paris,1
LOIRE-E,700127,Loire,47.417791,-0.523442,0,Europe/Paris,1
LOUET-E,605456,Louet,47.412435,-0.523807,0,Europe/Paris,0
LUTIN-E,331921,Lutin,47.475729,-0.534174,0,Europe/Paris,1
MACE-E,756877,Macé,47.477009,-0.531731,0,Europe/Paris,1
NOZAY-E,661345,Nozay,47.487664,-0.5319430000000001,0,Europe/Paris,1
POUIL-AR,666530,Pouillé,47.432846,-0.53218,0,Europe/Paris,1
RAMON-E,285473,Ramon,47.486515,-0.538044,0,Europe/Paris,1
REDUM-E,794465,René Dumont,47.493915,-0.506179,0,Europe/Paris,1
REDUMONT,432264,René Dumont,47.493795,-0.506286,0,Europe/Paris,1
RODIN-E,399230,Rodin,47.476076,-0.625709,0,Europe/Paris,1
SALET-AR,91682,Salette,47.512493,-0.587165,0,Europe/Paris,1
TALET-E,453380,Talet,47.476182,-0.547694,0,Europe/Paris,1
TRELA-AR,749046,Quantinière,47.459869,-0.475528,0,Europe/Paris,1
VALEO-E,6240,Valéo,47.501925,-0.517047,0,Europe/Paris,1
JUINGE-E,351294,Juingères,47.499458,-0.412743,0,Europe/Paris,0
JUINGER,694542,Juingères,47.499514,-0.412828,0,Europe/Paris,0
1ANRO,3935,Roseraie,47.443867,-0.554028,0,Europe/Paris,1
2AARD,22259,Avrillé - Ardenne,47.511564,-0.596,0,Europe/Paris,1
CHAPE-E,822070,Chapelles,47.468641,-0.382972,0,Europe/Paris,0
HAUSSA-E,494497,Houssaye,47.586506,-0.456898,0,Europe/Paris,0
BRISPO-E,341704,Brisepotière,47.478477,-0.528056,0,Europe/Paris,1
BRISPOTI,968494,Brisepotière,47.478445,-0.528323,0,Europe/Paris,1
DEUCRO-E,45594,Deux-Croix,47.47503,-0.528829,0,Europe/Paris,1
DEUCROIX,31483,Deux-Croix,47.475081,-0.529102,0,Europe/Paris,1
THULEA-E,18543,Thuleau,47.476548,-0.528093,0,Europe/Paris,1
THULEAU,17278,Thuleau,47.476489,-0.52839,0,Europe/Paris,1
EBLE-E,844041,Eblé,47.455391,-0.566325,0,Europe/Paris,0
5ROUTE-E,234343,Cinq routes,47.484526,-0.643583,0,Europe/Paris,0
